,HMM_WF,MSVAR_WF,HMM_GMV,HMM_MVO,MSVAR_GMV,MSVAR_MVO
Annualized Return,0.10329217263207569,0.10249546509262575,0.0939593930460405,0.07846200078990884,0.10175300400036957,0.06162359121143579
Annualized Volatility,0.10205582738571951,0.10182489045275352,0.10409266144708061,0.10785650155928028,0.10255960481218528,0.10821174510985167
Sharpe Ratio,0.7558941446936437,0.75021490650765,0.6608574412993536,0.5084446459059041,0.7389204295884907,0.36103810915772966
Sortino Ratio,1.2784882070342578,1.2857710114226697,1.1192097116629858,0.8258911267606005,1.2733746204078653,0.5349254993378134
Max Drawdown,-0.21235060721154042,-0.2089065354419769,-0.21854206295916645,-0.23627204502393206,-0.21227579209133085,-0.2559479141381821
VaR 95% (monthly),0.033398647060098485,0.033815219408870084,0.03436232250184711,0.03590905229129401,0.03372851367772004,0.04715521066271843
CVaR 95% (monthly),0.050961363565768726,0.05084412188106326,0.05255611641317337,0.05797550853200513,0.05111759977844308,0.0637887517221597
Information Ratio vs 60/40,0.11277497187678313,0.09572465174882025,-0.0351743750369083,-0.3562191753166722,0.0897353840677893,-0.5217998138451553
