,HMM_GMV,HMM_MVO,MSVAR_GMV,MSVAR_MVO,60_40,Equal_Weight,Buy_Hold_Equity,Unconditional_MVO,Unconditional_GMV
Average Trade Notional,0.02567773884543447,0.04339473720169978,0.04214492235854222,0.04164562042992496,0.021464340307201606,0.024386695392147745,0.0,0.023953106331938697,0.02375920919467822
Average One-Way Turnover,0.012838869422717235,0.02169736860084989,0.02107246117927111,0.02082281021496248,0.010732170153600803,0.012193347696073872,0.0,0.011976553165969349,0.01187960459733911
Average Monthly Transaction Cost,2.567773884543447e-05,4.339473720169977e-05,4.214492235854222e-05,4.164562042992494e-05,2.1464340307201608e-05,2.4386695392147734e-05,0.0,2.39531063319387e-05,2.375920919467822e-05
