Subperiod,Strategy,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,VaR 95% (monthly),CVaR 95% (monthly),Information Ratio vs 60/40
Full_Test_Period,HMM_GMV,0.10064806802089521,0.0984715378815125,0.7557038936864195,1.2941436385823957,-0.2055012269124068,0.03306653464789127,0.050003460713587966,0.05743892557799173
Full_Test_Period,HMM_MVO,0.07554077436215656,0.10508181245373553,0.4935337285430736,0.8249040334373554,-0.2652654846667466,0.04451671673843144,0.05802872382628086,-0.2750259406539104
Full_Test_Period,MSVAR_GMV,0.10041164404511016,0.10246382988422238,0.7280340731981411,1.2410187647466469,-0.214066793717693,0.03388561648992561,0.05158075951330472,0.06590406516964842
Full_Test_Period,MSVAR_MVO,0.07296504624608913,0.10503184593166308,0.47079229061403943,0.76259205984038,-0.23069376680396403,0.03473890371060975,0.05664747240369476,-0.38434199180677137
Full_Test_Period,60_40,0.09307212611509152,0.1281348263188958,0.5525876776656771,0.8845412736702678,-0.25791580215162146,0.05533600677070728,0.07024047194774352,
Full_Test_Period,Equal_Weight,0.11755318507943757,0.09906238964534818,0.9069673900666756,1.5468203170369945,-0.19667565320342384,0.03109629557594049,0.04898127088018738,0.3322190757659796
Full_Test_Period,Buy_Hold_Equity,0.15307140992934154,0.17250975599436327,0.7618589445010346,1.1311760145059555,-0.24013984585708004,0.08411510600263755,0.09782395660959765,0.735648592882653
Full_Test_Period,Unconditional_MVO,0.09435988831040043,0.10746618163474386,0.6473444088438524,1.0816094068379454,-0.2284931773077008,0.0345504032352627,0.0559175994509886,-0.02918442287038257
Full_Test_Period,Unconditional_GMV,0.10108929667016886,0.10120003166693645,0.7420006702452259,1.246968233265418,-0.21231777790093231,0.033862416497604596,0.05085657482603092,0.0715643989881273
COVID_2020,HMM_GMV,0.13386425940828794,0.10726634429459796,1.211875019503278,6.225548109043327,-0.03836432338671614,0.024113517799720555,0.02542719527000214,-0.6635412019295219
COVID_2020,HMM_MVO,0.06308417387772725,0.10078028982878744,0.6400116918926554,0.9250931281769438,-0.06284173537894977,0.03633041869204929,0.045559802027637784,-0.9547256364789455
COVID_2020,MSVAR_GMV,0.155476924105999,0.11884534511418975,1.264184911496342,15.032527062941117,-0.04252405170672202,0.024240286575280393,0.024589971235024516,-0.4947763789143618
COVID_2020,MSVAR_MVO,-0.019603386476425122,0.08862241947838931,-0.19929371748202082,-0.6279446025488374,-0.06052482793995417,0.027780060815478676,0.029491676492409802,-1.8286805794651873
COVID_2020,60_40,0.18923186967700678,0.1618854259238879,1.1413686962113854,2.7040627361768705,-0.04910415261443557,0.043504811646550075,0.05742791171935163,
COVID_2020,Equal_Weight,0.16691033697218982,0.12119153661260529,1.3239996562797685,9.75136655426469,-0.04152930040577951,0.025155013728712896,0.027671993194058386,-0.4097614705407314
COVID_2020,Buy_Hold_Equity,0.3496949067677293,0.26672860807727794,1.2542282696719824,1.7429271621874323,-0.06570208959780932,0.08992511629582885,0.1275552155067445,1.1751523063481668
COVID_2020,Unconditional_MVO,0.14631224183124103,0.12352449647861914,1.1551024540014396,9.542689426726245,-0.041765438877024885,0.026350021542306753,0.027626492590516964,-0.7944466921011524
COVID_2020,Unconditional_GMV,0.13809993445002844,0.11273812672158288,1.1911834617799808,9.507918477739493,-0.03932017617645922,0.02409057735964621,0.024613428496236742,-0.7085608911994732
Inflation_Rate_Rise_2021_2022,HMM_GMV,-0.05903356861042863,0.1042955322932387,-0.6159827179620828,-0.9107490772857707,-0.2055012269124067,0.05598254533798479,0.06557983252745518,-0.2437563145743427
Inflation_Rate_Rise_2021_2022,HMM_MVO,-0.0925759074632232,0.11421121095975464,-0.8690643433681206,-1.3490341810250857,-0.25025602154917703,0.06349383928895369,0.06844096257541998,-0.56196995114135
Inflation_Rate_Rise_2021_2022,MSVAR_GMV,-0.06325851839940544,0.11082496905671506,-0.6138681977439417,-0.8932670531309311,-0.21406679371769288,0.061138091147051585,0.07087969219851753,-0.3619444769413839
Inflation_Rate_Rise_2021_2022,MSVAR_MVO,-0.060593104758129956,0.12391920537346605,-0.5141410147305939,-0.7853485194715418,-0.2306937668039638,0.068811205521704,0.07713330777550367,-0.3995033880140848
Inflation_Rate_Rise_2021_2022,60_40,-0.04565336457232683,0.15191333661783124,-0.29127351201080165,-0.42143694453187014,-0.25791580215162135,0.0821735845725585,0.0880319466537311,
Inflation_Rate_Rise_2021_2022,Equal_Weight,-0.04479272656544797,0.10659886798799191,-0.46011765573080954,-0.7129712810599504,-0.19667565320342362,0.05677347922010404,0.06733557458853459,-0.07069178678461799
Inflation_Rate_Rise_2021_2022,Buy_Hold_Equity,0.02473556694883916,0.19145594429460958,0.17414253995597012,0.30496066748601797,-0.24013984585707981,0.08586705951646188,0.09100275856422765,1.0463903897712652
Inflation_Rate_Rise_2021_2022,Unconditional_MVO,-0.05854639551332752,0.1218545265700239,-0.5071077668385978,-0.7834467327345951,-0.2284931773077009,0.06778160559738873,0.07629376689677628,-0.3697421104577241
Inflation_Rate_Rise_2021_2022,Unconditional_GMV,-0.059147315769485176,0.11036395710810448,-0.5774441533000156,-0.850867787750591,-0.21231777790093231,0.05997307912555126,0.06989170659737204,-0.285038042716673
Post_2022_Normalization,HMM_GMV,0.16430748429011732,0.09627402996260472,1.1385465552946368,2.3564551425584668,-0.09105481579062058,0.03189414510439836,0.04027200290512552,0.5037563816098364
Post_2022_Normalization,HMM_MVO,0.16291419906947646,0.10222361780979357,1.0660831079421766,2.1751293913456933,-0.09588691928961479,0.03258174876358216,0.04264043098488289,1.0439819452708359
Post_2022_Normalization,MSVAR_GMV,0.15851200741036542,0.09715238015634038,1.0770786101594343,2.256714573780112,-0.09246394211656972,0.03252894952926615,0.040783584412186394,0.3739794208926373
Post_2022_Normalization,MSVAR_MVO,0.1453557718220242,0.10226534504308782,0.9150972058970812,1.7714800785963818,-0.09954975877289551,0.034608447772398646,0.04374037233019189,0.20997517524670622
Post_2022_Normalization,60_40,0.13654863010686502,0.11490813691725883,0.7581493966577814,1.4799937639996845,-0.10770832575478007,0.041557068943908884,0.0535729114483134,
Post_2022_Normalization,Equal_Weight,0.18685668893574348,0.09184933154779414,1.4006599905838009,2.8716914005109047,-0.08260617256216807,0.028877311256390484,0.03701225717438659,0.780009739975431
Post_2022_Normalization,Buy_Hold_Equity,0.2291281117449806,0.11935908189187588,1.3992188391394433,2.533014903998835,-0.08286042015240047,0.04138881647969673,0.05528889575522915,1.8184005694750243
Post_2022_Normalization,Unconditional_MVO,0.14641103139617706,0.10155069447809997,0.9300076639384162,1.8009769884360904,-0.09880297973264929,0.034516721693961826,0.04331684597055767,0.22145662828481955
Post_2022_Normalization,Unconditional_GMV,0.1610399061519856,0.09648972020089411,1.1066939481611655,2.3004426175859596,-0.09121269329493109,0.032127812594045416,0.040286899589504765,0.3986960276144719
