Subperiod,Strategy,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,VaR 95% (monthly),CVaR 95% (monthly),Information Ratio vs 60/40
Full_Period,HMM_PLS_WF,0.1166616065875632,0.10041739217512385,0.8875845717754467,1.5122608525283232,-0.20048357664443184,0.03197532521592848,0.049999208829702005,0.21897126231571126
Full_Period,HMM_PCA_WF,0.10916832935173093,0.10155155391348489,0.811869202239945,1.3806274590217482,-0.20434711224340285,0.03357495152213867,0.05016993849777268,0.09023959036436907
Full_Period,MSVAR_PCA_WF,0.10652632141557983,0.10179583120743552,0.7865778918035775,1.3171497945593726,-0.2121459858312681,0.03333484774538286,0.051077822559221574,0.049252760973961716
Full_Period,60_40,0.10009114349456705,0.12785480509596722,0.6036042050134831,0.9483509338186722,-0.25778881475849214,0.05579570660965323,0.07021392020179545,
Full_Period,Equal_Weight,0.12031317648980422,0.0994786177816893,0.928138220014728,1.5898373489691164,-0.196444778749142,0.03127912447230843,0.04896221968168009,0.26732426456445824
Full_Period,Buy_Hold_Equity,0.17162037949468711,0.16853991811810606,0.8712300035858948,1.3001964888416915,-0.24013984585708004,0.07959829903805671,0.09530293521441541,0.880985929106321
Full_Period,Uncond_GMV_WF,0.1068703008111096,0.10141330369496704,0.7922396402783728,1.3250531570428767,-0.21172792008707386,0.0335521799465327,0.05050091371118652,0.052134759581906984
COVID-19 (2020),HMM_PLS_WF,0.15135116777386814,0.12046489693515533,1.2185419571335956,11.42628653047773,-0.04083337080129312,0.025186048779761105,0.026894167659410897,-0.6483741099689806
COVID-19 (2020),HMM_PCA_WF,0.1494503102761724,0.11894866711541306,1.218668274041537,13.129794561316027,-0.04020998229865236,0.024266493021243864,0.02543428080332075,-0.6410801269760392
COVID-19 (2020),MSVAR_PCA_WF,0.1298411915033495,0.1128396433174304,1.1249971809525303,6.800536953307063,-0.0388139601537969,0.02559384038120021,0.027011273359864082,-0.8044914294000247
COVID-19 (2020),60_40,0.18977351280629606,0.16186610084888137,1.1443369525944707,2.712674651626278,-0.049024018699404426,0.04345319970828928,0.057354935619034174,
COVID-19 (2020),Equal_Weight,0.16735788863480683,0.12117404226305564,1.3273780929150731,9.77927033411186,-0.04146098179313373,0.02511549749468532,0.027615616189758038,-0.41103503110205014
COVID-19 (2020),Buy_Hold_Equity,0.3496949067677293,0.26672860807727794,1.2542282696719824,1.7429271621874323,-0.06570208959780932,0.08992511629582885,0.1275552155067445,1.1712393825682197
COVID-19 (2020),Uncond_GMV_WF,0.13899533271540587,0.11310121260146551,1.1947057367496592,10.089078706643138,-0.03942262789349538,0.023949075078383678,0.02436473957056224,-0.7105677314029233
Inflation 2021-2022,HMM_PLS_WF,-0.04422697845361445,0.10832997521618058,-0.44566034482631967,-0.6967438942573835,-0.20048357664443184,0.058100804875768276,0.06818816686876387,-0.06552120155422926
Inflation 2021-2022,HMM_PCA_WF,-0.05172113294716629,0.10941950920511827,-0.5118470481248133,-0.7701458172725592,-0.20434711224340296,0.058562697175484436,0.06853059088126587,-0.17520910464883213
Inflation 2021-2022,MSVAR_PCA_WF,-0.055322428530630297,0.11164761900244057,-0.5334023502017217,-0.8036567887079679,-0.21214598583126776,0.061051106400359566,0.07055824410906628,-0.24139308958320196
Inflation 2021-2022,60_40,-0.045414991951389316,0.15193023941381775,-0.28958978015730946,-0.4190636782841525,-0.2577888147584919,0.08213649699841805,0.0880103101910781,
Inflation 2021-2022,Equal_Weight,-0.04448275680332192,0.10660350117135335,-0.4570633234616035,-0.7083558644837742,-0.196444778749142,0.05673568983576106,0.06730126670980661,-0.06961612109577509
Inflation 2021-2022,Buy_Hold_Equity,0.02473556694883916,0.19145594429460958,0.17414253995597012,0.30496066748601797,-0.24013984585707981,0.08586705951646188,0.09100275856422765,1.0429615792621283
Inflation 2021-2022,Uncond_GMV_WF,-0.059228523214927886,0.11026068196341599,-0.578868031344617,-0.8554786465434059,-0.21172792008707375,0.059801752697512124,0.06962386155728054,-0.2863997414981599
Post-2022 normalization,HMM_PLS_WF,0.1814976881001269,0.09356410911849963,1.3275905956421103,2.593305516143495,-0.08652898123106656,0.029617029304727427,0.03856917322842793,0.7417401199824478
Post-2022 normalization,HMM_PCA_WF,0.17195266788025143,0.09511146852865887,1.2210106450488571,2.4222997967327182,-0.0891323598362267,0.03063365269768916,0.03954198455557498,0.545903584606169
Post-2022 normalization,MSVAR_PCA_WF,0.17088004051068673,0.09525139255515461,1.209616906847066,2.411295841062631,-0.08957558124378184,0.030754223568539973,0.03972209375833935,0.5424199051587553
Post-2022 normalization,60_40,0.13673080680745464,0.11491154101138165,0.7595392380726909,1.4827133768057121,-0.1076672319516786,0.041531459464254405,0.05356581776055494,
Post-2022 normalization,Equal_Weight,0.18713677630238723,0.09185548441715997,1.4031771165375424,2.8764302104478685,-0.08255551061837774,0.028857448455944092,0.0370068738784914,0.7815112493704928
Post-2022 normalization,Buy_Hold_Equity,0.2291281117449806,0.11935908189187588,1.3992188391394433,2.533014903998835,-0.08286042015240047,0.04138881647969673,0.05528889575522915,1.814782560130128
Post-2022 normalization,Uncond_GMV_WF,0.17287342301136266,0.09505356080715183,1.2300584087974957,2.437642748493039,-0.08844879234151504,0.030640851455385067,0.03920470482496312,0.543588026118987
