,"HMM_WF (PLS, primary)",HMM_WF (no reduction),60_40,Equal_Weight
Annualized Return,0.1166616065875632,0.10881209489913646,0.10009114349456705,0.12031317648980422
Annualized Volatility,0.10041739217512385,0.10252379581981294,0.12785480509596722,0.0994786177816893
Sharpe Ratio,0.8875845717754467,0.8020102296873124,0.6036042050134831,0.928138220014728
Sortino Ratio,1.5122608525283232,1.3723423881913246,0.9483509338186722,1.5898373489691164
Max Drawdown,-0.20048357664443184,-0.2135041287021554,-0.25778881475849214,-0.196444778749142
VaR 95% (monthly),0.03197532521592848,0.033170466939804466,0.05579570660965323,0.03127912447230843
CVaR 95% (monthly),0.049999208829702005,0.05137330393759382,0.07021392020179545,0.04896221968168009
Information Ratio vs 60/40,0.21897126231571126,0.09258780236752477,,0.26732426456445824
