,HMM GMV (WF),MSVAR GMV (WF),Uncond. GMV (WF),HMM GMV (FT),MSVAR GMV (FT),60_40 (FT),Equal_Weight (FT),Buy_Hold (FT),Uncond. GMV (FT)
Annualized Return,0.10800700050415557,0.10694628413323048,0.10687020747606746,0.09852704466421192,0.10628921306350292,0.0998077128774848,0.11998555683888101,0.1716203548674864,0.10206790626005735
Annualized Volatility,0.10207609147412208,0.10177776376895593,0.10141328235372708,0.10405766856627331,0.10252688663546428,0.12784684558260112,0.09947747871512871,0.16854004023678879,0.1017758550675299
Sharpe Ratio,0.7979009504296115,0.7904425820279533,0.7922389458482998,0.7014062316425571,0.7795428386044921,0.601604391218688,0.9251812385549539,0.8712293677670614,0.7467033296147931
Sortino Ratio,1.3498047496980878,1.3540890369908753,1.3250529403587237,1.1874826800039797,1.3429502758334528,0.9451751284926445,1.5846959223437433,1.30019631517691,1.2620125393182495
Max Drawdown,-0.21235060721154053,-0.2089065354419768,-0.21172794012367968,-0.21854206295916678,-0.21227579209133085,-0.25791554558778573,-0.1966754727951079,-0.24013960438845805,-0.21231777706795396
