,"HMM_WF (PLS, primary)",HMM_WF (PCA),60_40,Equal_Weight
Annualized Return,0.1166616065875632,0.10916832935173093,0.10009114349456705,0.12031317648980422
Annualized Volatility,0.10041739217512385,0.10155155391348489,0.12785480509596722,0.0994786177816893
Sharpe Ratio,0.8875845717754467,0.811869202239945,0.6036042050134831,0.928138220014728
Sortino Ratio,1.5122608525283232,1.3806274590217482,0.9483509338186722,1.5898373489691164
Max Drawdown,-0.20048357664443184,-0.20434711224340285,-0.25778881475849214,-0.196444778749142
VaR 95% (monthly),0.03197532521592848,0.03357495152213867,0.05579570660965323,0.03127912447230843
CVaR 95% (monthly),0.049999208829702005,0.05016993849777268,0.07021392020179545,0.04896221968168009
Information Ratio vs 60/40,0.21897126231571126,0.09023959036436907,,0.26732426456445824
