,HMM_PLS_WF,HMM_PCA_WF,MSVAR_PCA_WF,60_40,Equal_Weight,Buy_Hold_Equity,Uncond_GMV_WF
Annualized Return,0.1166616065875632,0.10916832935173093,0.10652632141557983,0.10009114349456705,0.12031317648980422,0.17162037949468711,0.1068703008111096
Annualized Volatility,0.10041739217512385,0.10155155391348489,0.10179583120743552,0.12785480509596722,0.0994786177816893,0.16853991811810606,0.10141330369496704
Sharpe Ratio,0.8875845717754467,0.811869202239945,0.7865778918035775,0.6036042050134831,0.928138220014728,0.8712300035858948,0.7922396402783728
Sortino Ratio,1.5122608525283232,1.3806274590217482,1.3171497945593726,0.9483509338186722,1.5898373489691164,1.3001964888416915,1.3250531570428767
Max Drawdown,-0.20048357664443184,-0.20434711224340285,-0.2121459858312681,-0.25778881475849214,-0.196444778749142,-0.24013984585708004,-0.21172792008707386
VaR 95% (monthly),0.03197532521592848,0.03357495152213867,0.03333484774538286,0.05579570660965323,0.03127912447230843,0.07959829903805671,0.0335521799465327
CVaR 95% (monthly),0.049999208829702005,0.05016993849777268,0.051077822559221574,0.07021392020179545,0.04896221968168009,0.09530293521441541,0.05050091371118652
Information Ratio vs 60/40,0.21897126231571126,0.09023959036436907,0.049252760973961716,,0.26732426456445824,0.880985929106321,0.052134759581906984
