,HMM_WF (PCA),HMM_WF (no PCA),60_40,Equal_Weight
Annualized Return,0.10800700050415557,0.10381629459280028,0.10009115628215914,0.12031318593138596
Annualized Volatility,0.10207609147412208,0.10278145384509887,0.1278547604440512,0.09947858530125697
Sharpe Ratio,0.7979009504296115,0.7559491501811406,0.6036044629888463,0.9281385748681955
Sortino Ratio,1.3498047496980878,1.322299748659752,0.9483510228185973,1.589838560488863
Max Drawdown,-0.21235060721154053,-0.211963884628806,-0.25778855795095323,-0.1964445982532842
VaR 95% (monthly),0.03333174379276232,0.0334396041877825,0.05579555728672185,0.03127929088621152
CVaR 95% (monthly),0.050961363565768726,0.051685885276507616,0.07021389406445397,0.04896225834406159
Information Ratio vs 60/40,0.07515651630142096,0.009866737209398147,,0.26732420577367055
