,HMM_GMV,HMM_MVO,MSVAR_GMV,MSVAR_MVO,60_40,Equal_Weight,Buy_Hold_Equity,Unconditional_MVO,Unconditional_GMV
Annualized Return,0.10080529976355046,0.07554936093625164,0.10065599727152641,0.0866764144722012,0.09307212611509152,0.11755318507943757,0.15307140992934154,0.09435988831040043,0.10108929667016886
Annualized Volatility,0.0997524131061243,0.10805235719781955,0.10241112739667414,0.1087162283439565,0.1281348263188958,0.09906238964534818,0.17250975599436327,0.10746618163474386,0.10120003166693645
Sharpe Ratio,0.7487462097209091,0.4829635102884354,0.7305464570394749,0.5759084053751622,0.5525876776656771,0.9069673900666756,0.7618589445010346,0.6473444088438524,0.7420006702452259
Sortino Ratio,1.2413399560940712,0.8146481438034054,1.223687432648119,0.9602602277646306,0.8845412736702678,1.5468203170369945,1.1311760145059555,1.0816094068379454,1.246968233265418
Max Drawdown,-0.21677144836489626,-0.27771773202827066,-0.2170975088583711,-0.23478272472785255,-0.25791580215162146,-0.19667565320342384,-0.24013984585708004,-0.2284931773077008,-0.21231777790093231
VaR 95% (monthly),0.0326416789161527,0.046932745996073166,0.034079540821938835,0.035586996704380244,0.05533600677070728,0.03109629557594049,0.08411510600263755,0.0345504032352627,0.033862416497604596
CVaR 95% (monthly),0.05085073857938303,0.05869660816862936,0.05224041138767029,0.05749057918160353,0.07024047194774352,0.04898127088018738,0.09782395660959765,0.0559175994509886,0.05085657482603092
Information Ratio vs 60/40,0.06349929759895455,-0.2557357512900141,0.07113939968599281,-0.19441060205435345,,0.3322190757659796,0.735648592882653,-0.02918442287038257,0.0715643989881273
