,HMM_PLS_WF,HMM_PCA_WF,MSVAR_PCA_WF,Uncond_GMV_WF
Annualized Return,0.1166616065875632,0.10916832935173093,0.10652632141557983,0.1068703008111096
Annualized Volatility,0.10041739217512385,0.10155155391348489,0.10179583120743552,0.10141330369496704
Sharpe Ratio,0.8875845717754467,0.811869202239945,0.7865778918035775,0.7922396402783728
Sortino Ratio,1.5122608525283232,1.3806274590217482,1.3171497945593726,1.3250531570428767
Max Drawdown,-0.20048357664443184,-0.20434711224340285,-0.2121459858312681,-0.21172792008707386
VaR 95% (monthly),0.03197532521592848,0.03357495152213867,0.03333484774538286,0.0335521799465327
CVaR 95% (monthly),0.049999208829702005,0.05016993849777268,0.051077822559221574,0.05050091371118652
Information Ratio vs 60/40,0.8487078511522146,0.39454158608959583,-0.06546125689417874,
