,Annualized Return,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,VaR 95% (monthly),CVaR 95% (monthly)
Equal_Weight,0.12031317648980422,0.0994786177816893,0.928138220014728,1.5898373489691164,-0.196444778749142,0.03127912447230843,0.04896221968168009
Buy_Hold_Equity,0.17162037949468711,0.16853991811810606,0.8712300035858948,1.3001964888416915,-0.24013984585708004,0.07959829903805671,0.09530293521441541
"HMM GMV (PLS, WF)",0.11331656214122243,0.10132539804121572,0.8506452246891272,1.4634359581843943,-0.20368777914906766,0.03269417295615892,0.05070644122560712
Unconditional GMV (WF),0.1068703008111096,0.10141330369496704,0.7922396402783728,1.3250531570428767,-0.21172792008707386,0.0335521799465327,0.05050091371118652
"HMM GMV (PCA, WF)",0.10684272508366344,0.10253038785760654,0.7844687188498064,1.3048374568450265,-0.2145810462289347,0.033430447392187486,0.05121912988849482
"MSVAR GMV (PCA, WF) †",0.10629496900228719,0.10215077613312504,0.7821304866133705,1.3309212949335119,-0.21448451025782955,0.03345121438535757,0.05114818578470045
60_40,0.10009114349456705,0.12785480509596722,0.6036042050134831,0.9483509338186722,-0.25778881475849214,0.05579570660965323,0.07021392020179545
