,HMM_GMV,HMM_MVO,MSVAR_GMV,MSVAR_MVO,Unconditional_GMV,Unconditional_MVO
Annualized Return,0.10080529976355046,0.07554936093625164,0.10065599727152641,0.0866764144722012,0.10108929667016886,0.09435988831040043
Annualized Volatility,0.0997524131061243,0.10805235719781955,0.10241112739667414,0.1087162283439565,0.10120003166693645,0.10746618163474386
Sharpe Ratio,0.7487462097209091,0.4829635102884354,0.7305464570394749,0.5759084053751622,0.7420006702452259,0.6473444088438524
Sortino Ratio,1.2413399560940712,0.8146481438034054,1.223687432648119,0.9602602277646306,1.246968233265418,1.0816094068379454
Max Drawdown,-0.21677144836489626,-0.27771773202827066,-0.2170975088583711,-0.23478272472785255,-0.21231777790093231,-0.2284931773077008
VaR 95% (monthly),0.0326416789161527,0.046932745996073166,0.034079540821938835,0.035586996704380244,0.033862416497604596,0.0345504032352627
CVaR 95% (monthly),0.05085073857938303,0.05869660816862936,0.05224041138767029,0.05749057918160353,0.05085657482603092,0.0559175994509886
Information Ratio vs 60/40,0.06349929759895455,-0.2557357512900141,0.07113939968599281,-0.19441060205435345,0.0715643989881273,-0.02918442287038257
